catalog_id,title,author,alternate_titles,author_aliases,edition,contains_titles,ambiguity_tags
CAT125,Purple Hibiscus,Chimamanda Ngozi Adichie,,,,,
CAT126,Midnight's Children,Salman Rushdie,Midnights Children,,Paperback,,
CAT127,The God of Small Things,Arundhati Roy,,,,,
CAT128,Interpreter of Maladies,Jhumpa Lahiri,,,,,
CAT129,The Namesake,Jhumpa Lahiri,,,,,
CAT130,The White Tiger,Aravind Adiga,,,,,
CAT131,Shantaram,Gregory David Roberts,,,,,
CAT132,Memoirs of a Geisha,Arthur Golden,,,,,
CAT133,The Red Tent,Anita Diamant,,,,,
CAT134,The Secret History,Donna Tartt,,,,,
CAT135,Circe,Madeline Miller,,,,,
CAT136,The Song of Achilles,Madeline Miller,,,,,
CAT137,Piranesi,Susanna Clarke,,,,,
CAT138,Jonathan Strange & Mr Norrell,Susanna Clarke,Jonathan Strange and Mr Norrell,,Hardcover,,
CAT139,Good Omens,Terry Pratchett and Neil Gaiman,The Nice and Accurate Prophecies of Agnes Nutter Witch,Neil Gaiman and Terry Pratchett,Paperback,,author_forms
CAT140,American Gods,Neil Gaiman,,,,,
CAT141,Neverwhere,Neil Gaiman,,,,,
CAT142,Coraline,Neil Gaiman,,,,,
CAT143,The Ocean at the End of the Lane,Neil Gaiman,,,,,
CAT144,Foundation,Isaac Asimov,,,Paperback,,contained_volume
CAT145,Foundation and Empire,Isaac Asimov,,,Paperback,,contained_volume|substring_title
CAT146,Second Foundation,Isaac Asimov,,,Paperback,,contained_volume|substring_title
CAT147,"I, Robot",Isaac Asimov,I Robot,,Paperback,,
CAT148,Ender's Game,Orson Scott Card,Enders Game,,Paperback,,substring_title
CAT149,Speaker for the Dead,Orson Scott Card,,,Paperback,,
CAT150,The Left Hand of Darkness,Ursula K. Le Guin,,Ursula Le Guin|U. K. Le Guin,Paperback,,author_forms
CAT151,Northern Lights,Philip Pullman,The Golden Compass,,UK edition,,publication_title
